gene	population	category
Slc6a11	Astrocytes	Glia
Glul	Astrocytes	Glia
Mlc1	Astrocytes	Glia
Hepacam	Astrocytes	Glia
Clu	Astrocytes	Glia
Cst3	Astrocytes	Glia
Ptprz1	Astrocytes	Glia
Acsbg1	Astrocytes	Glia
Gab1	Astrocytes	Glia
Gfap	Astrocytes_reactive	Glia_activation
Vim	Astrocytes_reactive	Glia_activation
Lcn2	Astrocytes_reactive	Glia_activation
Serpina3n	Astrocytes_reactive	Glia_activation
C3	Astrocytes_reactive	Glia_activation
Ggta1	Astrocytes_reactive	Glia_activation
Mt1	Astrocytes_reactive	Glia_activation
Mt2	Astrocytes_reactive	Glia_activation
Hspb1	Astrocytes_reactive	Glia_activation
Timp1	Astrocytes_reactive	Glia_activation
Cxcl10	Astrocytes_reactive	Glia_activation
Steap4	Astrocytes_reactive	Glia_activation
Aspg	Astrocytes_reactive	Glia_activation
S100a10	Astrocytes_reactive	Glia_activation
Cx3cr1	Microglia_homeostatic	Glia
P2ry12	Microglia_homeostatic	Glia
Tmem119	Microglia_homeostatic	Glia
Hexb	Microglia_homeostatic	Glia
Sall1	Microglia_homeostatic	Glia
Siglech	Microglia_homeostatic	Glia
Csf1r	Microglia_homeostatic	Glia
Aif1	Microglia_homeostatic	Glia
C1qa	Microglia_homeostatic	Glia
C1qb	Microglia_homeostatic	Glia
C1qc	Microglia_homeostatic	Glia
Gpr34	Microglia_homeostatic	Glia
Selplg	Microglia_homeostatic	Glia
Ly86	Microglia_homeostatic	Glia
Fcrls	Microglia_homeostatic	Glia
Olfml3	Microglia_homeostatic	Glia
Rhob	Microglia_homeostatic	Glia
Bhlhe41	Microglia_homeostatic	Glia
Itgam	Microglia_homeostatic	Glia
Sparc	Microglia_homeostatic	Glia
Apoe	Microglia_activated	Neuroinflammation
Trem2	Microglia_activated	Neuroinflammation
Cst7	Microglia_activated	Neuroinflammation
Lpl	Microglia_activated	Neuroinflammation
Cd9	Microglia_activated	Neuroinflammation
Itgax	Microglia_activated	Neuroinflammation
Spp1	Microglia_activated	Neuroinflammation
Gpnmb	Microglia_activated	Neuroinflammation
Clec7a	Microglia_activated	Neuroinflammation
Axl	Microglia_activated	Neuroinflammation
Lgals3	Microglia_activated	Neuroinflammation
Cd68	Microglia_activated	Neuroinflammation
Ctss	Microglia_activated	Neuroinflammation
Ctsb	Microglia_activated	Neuroinflammation
Ctsd	Microglia_activated	Neuroinflammation
B2m	Microglia_activated	Neuroinflammation
H2-K1	Microglia_activated	Neuroinflammation
H2-D1	Microglia_activated	Neuroinflammation
Msr1	Microglia_activated	Neuroinflammation
Cd52	Microglia_activated	Neuroinflammation
Tnf	Neuroinflammation_mediators	Neuroinflammation
Il1b	Neuroinflammation_mediators	Neuroinflammation
Il6	Neuroinflammation_mediators	Neuroinflammation
Il18	Neuroinflammation_mediators	Neuroinflammation
Nlrp3	Neuroinflammation_mediators	Neuroinflammation
Ccl2	Neuroinflammation_mediators	Neuroinflammation
Ccl3	Neuroinflammation_mediators	Neuroinflammation
Ccl4	Neuroinflammation_mediators	Neuroinflammation
Cxcl10	Neuroinflammation_mediators	Neuroinflammation
Ptgs2	Neuroinflammation_mediators	Neuroinflammation
Nos2	Neuroinflammation_mediators	Neuroinflammation
Cd86	Neuroinflammation_mediators	Neuroinflammation
Cd74	Neuroinflammation_mediators	Neuroinflammation
H2-Ab1	Neuroinflammation_mediators	Neuroinflammation
H2-Aa	Neuroinflammation_mediators	Neuroinflammation
Tlr2	Neuroinflammation_mediators	Neuroinflammation
Tlr4	Neuroinflammation_mediators	Neuroinflammation
Nfkbia	Neuroinflammation_mediators	Neuroinflammation
Nfkb1	Neuroinflammation_mediators	Neuroinflammation
Stat1	Neuroinflammation_mediators	Neuroinflammation
Irf1	Neuroinflammation_mediators	Neuroinflammation
Mbp	Oligodendrocytes	Glia
Plp1	Oligodendrocytes	Glia
Mog	Oligodendrocytes	Glia
Cnp	Oligodendrocytes	Glia
Sox10	Oligodendrocytes	Glia
Mag	Oligodendrocytes	Glia
Mobp	Oligodendrocytes	Glia
Cldn11	Oligodendrocytes	Glia
Mal	Oligodendrocytes	Glia
Myrf	Oligodendrocytes	Glia
Tspan2	Oligodendrocytes	Glia
Bcas1	Oligodendrocytes	Glia
Opalin	Oligodendrocytes	Glia
Sirt2	Oligodendrocytes	Glia
Hapln2	Oligodendrocytes	Glia
Klk6	Oligodendrocytes	Glia
Trf	Oligodendrocytes	Glia
Ugt8a	Oligodendrocytes	Glia
Cers2	Oligodendrocytes	Glia
Fa2h	Oligodendrocytes	Glia
Aspa	Oligodendrocytes	Glia
Sdc3	Oligodendrocytes	Glia
Pdgfra	OPC	Glia
Cspg4	OPC	Glia
Olig1	OPC	Glia
Olig2	OPC	Glia
Lhfpl3	OPC	Glia
Cspg5	OPC	Glia
Gpr17	OPC	Glia
Stmn1	OPC	Glia
Myt1	OPC	Glia
Pcdh15	OPC	Glia
Cldn5	Endothelial	Vascular
Pecam1	Endothelial	Vascular
Flt1	Endothelial	Vascular
Tek	Endothelial	Vascular
Slco1a4	Endothelial	Vascular
Ly6c1	Endothelial	Vascular
Itm2a	Endothelial	Vascular
Egfl7	Endothelial	Vascular
Esam	Endothelial	Vascular
Cdh5	Endothelial	Vascular
Ocln	Endothelial	Vascular
Abcb1a	Endothelial	Vascular
Ramp2	Endothelial	Vascular
Epas1	Endothelial	Vascular
Meox2	Endothelial	Vascular
Plvap	Endothelial	Vascular
Emcn	Endothelial	Vascular
Cd34	Endothelial	Vascular
Vwf	Endothelial	Vascular
Pdgfrb	Pericytes	Vascular
Rgs5	Pericytes	Vascular
Kcnj8	Pericytes	Vascular
Abcc9	Pericytes	Vascular
Vtn	Pericytes	Vascular
Col4a1	Pericytes	Vascular
Des	Pericytes	Vascular
Acta2	Pericytes	Vascular
Dcn	Pericytes	Vascular
Notch3	Pericytes	Vascular
Cox4i2	Pericytes	Vascular
Kcng1	Pericytes	Vascular
Anpep	Pericytes	Vascular
Tbx2	Pericytes	Vascular
Slc6a13	Pericytes	Vascular
Foxj1	Ependymal	Barrier
Hdc	Ependymal	Barrier
Ccdc153	Ependymal	Barrier
Rarres2	Ependymal	Barrier
Tmem212	Ependymal	Barrier
Dnah12	Ependymal	Barrier
Spag17	Ependymal	Barrier
Trp73	Ependymal	Barrier
Spef2	Ependymal	Barrier
Cfap43	Ependymal	Barrier
Ttr	Choroid_plexus	Barrier
Folr1	Choroid_plexus	Barrier
Kl	Choroid_plexus	Barrier
Ezr	Choroid_plexus	Barrier
Clic6	Choroid_plexus	Barrier
Slc4a5	Choroid_plexus	Barrier
Aqp1	Choroid_plexus	Barrier
Col8a1	Choroid_plexus	Barrier
Rbp1	Choroid_plexus	Barrier
Sox2	Neurogenesis	Progenitor
Nes	Neurogenesis	Progenitor
Pcna	Neurogenesis	Progenitor
Mki67	Neurogenesis	Progenitor
Top2a	Neurogenesis	Progenitor
Neurod1	Neurogenesis	Progenitor
Msi1	Neurogenesis	Progenitor
Msi2	Neurogenesis	Progenitor
Hes5	Neurogenesis	Progenitor
Prom1	Neurogenesis	Progenitor
Tuba1a	Neurogenesis	Progenitor
Stmn2	Neurogenesis	Progenitor
Cdk1	Neurogenesis	Progenitor
Ccnb1	Neurogenesis	Progenitor
Sall3	Neurogenesis	Progenitor
Eomes	Neurogenesis	Progenitor
S100a8	Neutrophils	Infiltrating
S100a9	Neutrophils	Infiltrating
Mpo	Neutrophils	Infiltrating
Elane	Neutrophils	Infiltrating
Ly6g	Neutrophils	Infiltrating
Retnlg	Neutrophils	Infiltrating
Ngp	Neutrophils	Infiltrating
Camp	Neutrophils	Infiltrating
Ltf	Neutrophils	Infiltrating
Mmp9	Neutrophils	Infiltrating
Cxcr2	Neutrophils	Infiltrating
Fcnb	Neutrophils	Infiltrating
Wfdc21	Neutrophils	Infiltrating
Ly6c2	Monocytes	Infiltrating
Ccr2	Monocytes	Infiltrating
F13a1	Monocytes	Infiltrating
Ms4a7	Monocytes	Infiltrating
Cd163	Monocytes	Infiltrating
Mrc1	Monocytes	Infiltrating
Chil3	Monocytes	Infiltrating
Retnla	Monocytes	Infiltrating
Trem1	Monocytes	Infiltrating
Vcan	Monocytes	Infiltrating
Cd14	Monocytes	Infiltrating
Fcgr1	Monocytes	Infiltrating
Adgre1	Monocytes	Infiltrating
Cd177	Monocytes	Infiltrating
Cd3e	T_cells	Infiltrating
Cd3d	T_cells	Infiltrating
Cd3g	T_cells	Infiltrating
Cd4	T_cells	Infiltrating
Cd8a	T_cells	Infiltrating
Cd8b1	T_cells	Infiltrating
Trbc2	T_cells	Infiltrating
Lck	T_cells	Infiltrating
Cd28	T_cells	Infiltrating
Icos	T_cells	Infiltrating
Cd2	T_cells	Infiltrating
Ptprc	T_cells	Infiltrating
Cd247	T_cells	Infiltrating
Zap70	T_cells	Infiltrating
Skap1	T_cells	Infiltrating
Cd6	T_cells	Infiltrating
Nkg7	NK_cells	Infiltrating
Klrb1c	NK_cells	Infiltrating
Klrd1	NK_cells	Infiltrating
Gzma	NK_cells	Infiltrating
Gzmb	NK_cells	Infiltrating
Prf1	NK_cells	Infiltrating
Ncr1	NK_cells	Infiltrating
Klrb1b	NK_cells	Infiltrating
Ctsw	NK_cells	Infiltrating
Xcl1	NK_cells	Infiltrating
Cd19	B_cells	Infiltrating
Ms4a1	B_cells	Infiltrating
Cd79a	B_cells	Infiltrating
Cd79b	B_cells	Infiltrating
Igkc	B_cells	Infiltrating
Ighm	B_cells	Infiltrating
Cd37	B_cells	Infiltrating
Cd22	B_cells	Infiltrating
Bank1	B_cells	Infiltrating
Fcmr	B_cells	Infiltrating
Pax5	B_cells	Infiltrating
Cr2	B_cells	Infiltrating
Lyve1	BAM_meningeal	Infiltrating
Pf4	BAM_meningeal	Infiltrating
Cd5l	BAM_meningeal	Infiltrating
Ms4a6c	BAM_meningeal	Infiltrating
Dlg4	Synaptic_plasticity	Function
Dlgap1	Synaptic_plasticity	Function
Shank1	Synaptic_plasticity	Function
Shank2	Synaptic_plasticity	Function
Shank3	Synaptic_plasticity	Function
Homer1	Synaptic_plasticity	Function
Grin1	Synaptic_plasticity	Function
Grin2a	Synaptic_plasticity	Function
Gria1	Synaptic_plasticity	Function
Gria2	Synaptic_plasticity	Function
Grm1	Synaptic_plasticity	Function
Grm2	Synaptic_plasticity	Function
Grm5	Synaptic_plasticity	Function
Bdnf	Synaptic_plasticity	Function
Ngf	Synaptic_plasticity	Function
Ntrk2	Synaptic_plasticity	Function
Ppp1r1b	Synaptic_plasticity	Function
Creb1	Synaptic_plasticity	Function
Nr4a1	Synaptic_plasticity	Function
Nr4a2	Synaptic_plasticity	Function
Fos	IEG_activity	Function
Fosb	IEG_activity	Function
Egr1	IEG_activity	Function
Arc	IEG_activity	Function
Junb	IEG_activity	Function
Dusp1	IEG_activity	Function
Ier2	IEG_activity	Function
Per1	IEG_activity	Function
Zfp36	IEG_activity	Function
Sik1	IEG_activity	Function
Gpx4	Oxidative_stress	Stress
Slc7a11	Oxidative_stress	Stress
Acsl4	Oxidative_stress	Stress
Nfe2l2	Oxidative_stress	Stress
Hmox1	Oxidative_stress	Stress
Nqo1	Oxidative_stress	Stress
Txnrd1	Oxidative_stress	Stress
Gclm	Oxidative_stress	Stress
Gclc	Oxidative_stress	Stress
Fth1	Oxidative_stress	Stress
Ftl1	Oxidative_stress	Stress
Slc3a2	Oxidative_stress	Stress
Chac1	Oxidative_stress	Stress
Cdkn1a	Senescence_DNA_damage	Stress
Cdkn2a	Senescence_DNA_damage	Stress
Trp53	Senescence_DNA_damage	Stress
Gadd45a	Senescence_DNA_damage	Stress
Gadd45b	Senescence_DNA_damage	Stress
Ddit3	Senescence_DNA_damage	Stress
Atf4	Senescence_DNA_damage	Stress
H2afx	Senescence_DNA_damage	Stress
Glb1	Senescence_DNA_damage	Stress
